Division NO,Member Name,No. of days Members signed the Register,No. of days Members not signed the Register,
391,Shri Anubhav Mohanty ,18,2,
392,Shri Nandigam Suresh ,15,5,
393,Shri Adala Prabhakara Reddy ,18,2,
394,Shri Choudhury Mohan Jatua ,16,4,
395,Smt. Satabdi Roy ,18,2,
396,Shri Dayakar Pasunoori ,17,3,
397,Shri Kesineni Srinivas ,18,2,
398,Shri Kunwar Danish Ali ,19,1,
399,Shri Ramesh Chandra Majhi ,15,5,
400,Shri Mahesh Sahoo ,15,5,
401,Shri Balli Durga Prasad Rao ,15,5,
402,Shri N. Reddeppa ,19,1,
403,Shri Lavu Sri Krishna Devarayalu ,19,1,
404,Shri Prasun Banerjee ,17,3,
405,Smt. Pratima Mondal ,20,0,
406,Smt. Sajda Ahmed ,14,6,
407,Smt. Kavitha Malothu ,17,3,
408,Smt. Sangeeta Azad ,19,1,
409,Smt. Rajashree Mallick ,16,4,
410,Dr. Beesetti Venkata Satyavathi ,19,1,
411,Ms. Goddeti Madhavi ,18,2,
412,Smt. Chinta Anuradha ,15,5,
413,Shri P.R. Natarajan ,18,2,
414,Adv. A. M. Ariff ,19,1,
415,Shri Sunil Kumar Mondal ,20,0,
416,Smt. Aparupa Poddar (Afrin Ali) ,18,2,
417,Shri Dibyendu Adhikari ,7,13,
418,Shri Manne Srinivas Reddy ,14,6,
419,Shri Shyam Singh Yadav ,19,1,
420,Smt. Manjulata Mandal ,19,1,
421,Shri Bellana Chandra Sekhar ,19,1,
422,Shri Y. S. Avinash Reddy ,11,9,
423,Shri Subbarayan K. ,17,3,
424,Shri Venkatesan S. ,20,0,
425,Smt. Mala Roy ,18,2,
426,Shri Deepak Adhikari ,3,17,
427,Dr. G. Ranjith Reddy ,19,1,
428,Shri Haji Fazlur Rehman ,10,10,
429,Shri Shiromani Ram ,20,0,
430,Smt. Pramila Bisoyi ,20,0,
431,Ms. Chandrani Murmu ,13,7,
432,Shri Talari Rangaiah ,20,0,
433,Dr. Ayushman Doctor Sanjeev Kumar ,15,5,
434,Shri Kuruva Gorantla Madhav ,19,1,
435,Shri Selvaraj M. ,16,4,
436,Km. Mimi Chakraborty ,7,13,
437,Smt. Nusrat Jahan Ruhi ,11,9,
438,Ms. Mahua Moitra ,14,6,
439,Shri Bhagwant Mann ,11,9,
440,Shri Venkatesh Netha Borlakunta ,17,3,
442,Smt. Sarmistha Sethi ,10,10,
443,Shri Pocha Brahmananda Reddy ,18,2,
444,Shri M V V Satyanarayana ,14,6,
445,Shri Kanumuru Raghu Ramakrishna Raju ,20,0,
446,Shri Abu Taher Khan ,11,9,
447,Shri Khalilur Rahaman ,13,7,
448,Shri Asit Kumar Mal ,18,2,
449,Dr. T. R. Paarivendhar ,19,1,
450,Shri T.R.V.S. Ramesh ,17,3,
451,Shri S. Ramalingam ,12,8,
452,Dr. M.K. Vishnu Prasad ,17,3,
453,Adv. Dean Kuriakose ,19,1,
454,Shri T. R. Baalu ,18,2,
455,Shri Mulayam Singh Yadav ,17,3,
457,Smt. Sonia Gandhi ,12,8,
458,Shri Adhir Ranjan Chowdhury ,19,1,
460,Shri Akhilesh Yadav ,3,17,
461,Smt. K. Kanimozhi ,17,3,
462,Smt. Supriya Sule ,15,5,
463,Shri E. T. Mohammed Basheer ,18,2,
463,Shri P.K. Kunhalikutty ,15,5,
464,Shri A Raja ,19,1,
465,Shri Kodikunnil Suresh ,20,0,
466,Shri Rahul Gandhi ,8,12,
467,Shri K. Muraleedharan ,20,0,
468,Dr. Shashi Tharoor ,20,0,
469,Shri Dayanidhi Maran ,16,4,
470,Shri S. Jagathrakshakan ,12,8,
471,Shri Francisco Sardinha ,17,3,
472,Shri S.S. Palanimanickam ,8,12,
473,Smt. Preneet Kaur ,18,2,
474,Shri N.K. Premachandran ,19,1,
475,Shri Asaduddin Owaisi ,15,5,
477,Shri Shriniwas Dadasaheb Patil ,17,3,
478,Shri M. K. Raghavan ,16,4,
479,Shri Anto Antony ,18,2,
480,Shri Thirumaavalavan Thol ,11,9,
481,Shri Abu Hasem Khan Choudhury ,19,1,
482,Shri Ravneet Singh Bittu ,19,1,
483,Shri Gaurav Gogoi ,15,5,
484,Shri Badruddin Ajmal ,4,16,
485,Shri D K Suresh ,19,1,
486,Shri Sunil Tatkare Dattatray ,13,7,
487,Shri K Sudhakaran ,16,4,
488,Shri Thomas Chazhikadan ,17,3,
489,Shri Vaithilingam Ve. ,13,7,
490,Shri Manish Tiwari ,20,0,
491,Shri Uttam Kumar Reddy Nalamada ,19,1,
492,Shri Manickam Tagore ,19,1,
493,Shri Su. Thirunavukkarasar ,17,3,
494,Shri Gurjeet Singh Aujla ,18,2,
495,Shri Vincent H Pala ,20,0,
496,Shri Ganeshamurthi A. ,18,2,
497,Shri Santokh Singh Chaudhary ,18,2,
498,Shri Saptagiri Ulaka ,20,0,
499,Shri Mohammad Akbar Lone ,12,8,
500,Shri Amar Singh ,19,1,
501,Dr. Kalanidhi Veeraswamy ,19,1,
502,Shri Mohammed Faizal P.P. ,11,9,
503,Shri Prajwal Revanna ,5,15,
504,Shri Behanan Benny ,17,3,
505,Shri Kuldeep Rai Sharma ,19,1,
506,Dr. Mohammad Jawed ,20,0,
507,Shri Pradyut Bordoloi ,19,1,
508,Shri C.N. Annadurai ,16,4,
509,Dr. Amol Ramsing Kolhe ,11,9,
511,Shri Hibi Eden ,18,2,
512,Smt. Jyotsna Charandas Mahant ,17,3,
513,Shri G. Selvam ,20,0,
514,Shri Mohammad Azam Khan ,14,6,
515,Shri Deepak Baij ,19,1,
516,Shri Abdul Khaleque ,20,0,
517,Shri Nakul K. Nath ,14,6,
518,Dr. T. Sumathy (A) Thamizhachi Thangapandian ,19,1,
519,Adv. Adoor Prakash ,20,0,
520,Shri V.K. Sreekandan ,18,2,
521,Dr. A. Chellakumar ,13,7,
522,Shri Balubhau @ Suresh Narayan Dhanorkar ,12,8,
523,Dr. Gautham Sigamani Pon ,18,2,
524,Shri Rajmohan Unnithan ,17,3,
525,Shri Shafiqur Rehman Barq ,20,0,
526,Shri K. Navaskani ,13,7,
528,Shri T.N. Prathapan ,19,1,
529,Dr. K. Jayakumar ,17,3,
530,Shri Anumula Revanth Reddy ,14,6,
531,Ms. S. Jothimani ,16,4,
532,Shri D. M. Kathir Anand ,18,2,
533,Shri H. Vasanthakumar ,16,4,
534,Dr. S.T. Hasan ,14,6,
535,Ms. Ramya Haridas ,19,1,
536,Smt. Geeta Kora ,1,19,
537,Dr. DNV Senthilkumar. S. ,20,0,
538,Shri Hasnain Masoodi ,11,9,
539,Shri S. Gnanathiraviam ,18,2,
540,Shri Dhanush M Kumar ,20,0,
541,Shri Mohammad Sadique ,10,10,
542,Shri Karti P. Chidambaram ,17,3,
543,Shri Komati Reddy Venkat Reddy ,7,13,
544,Shri Ravikumar D. ,17,3,
545,Shri S.R. Parthiban ,20,0,
546,Shri A.K.P. Chinraj ,13,7,
548,Shri Jasbir Singh Gill ,20,0,
549,Shri K. Shanmuga Sundaram ,14,6,
550,Shri P. Velusamy ,20,0,
